Average Speed before stop,Distance from previous stop(in kms),Duration,EndTime,Latitude,Longitude,Speed Variance,StartRow,StartTime,StopID,StopRow,Time travelled before stop,VehicleID
22.6,0.9976793762269976,0.5333333333333333,2017-05-11 07:41:55,29.048516999999997,111.64374,115.3,18964.0,2017-05-11 07:41:55,338,18964.0,3.2,54379
37.5,0.7650764378607955,1.6,2017-05-11 07:44:34,29.054959999999998,111.64371000000001,60.5,18967.0,2017-05-11 07:43:30,339,18969.0,1.5833333333333333,54379
36.57142857142857,2.336020439649278,0.5333333333333333,2017-05-11 07:48:52,29.075968,111.64368400000001,72.61904761904762,18977.0,2017-05-11 07:48:52,340,18977.0,4.3,54379
28.78787878787879,10.91049489300065,0.5333333333333333,2017-05-11 08:11:16,29.155321,111.63452,125.29734848484848,19011.0,2017-05-11 08:11:16,341,19011.0,22.4,54379
20.0,1.602518082040874,39.28333333333333,2017-05-11 08:58:04,29.162429999999986,111.63989999999995,60.666666666666664,19016.0,2017-05-11 08:19:18,342,19032.0,8.033333333333333,54379
16.333333333333332,0.3471931801184546,14.283333333333333,2017-05-11 09:13:57,29.160848999999995,111.63914999999999,72.33333333333333,19036.0,2017-05-11 09:00:12,343,19041.0,2.1333333333333333,54379
7.5,0.1315119850118139,72.1,2017-05-11 10:27:08,29.160764999999994,111.64049500000007,4.5,19044.0,2017-05-11 09:15:34,344,19074.0,1.6166666666666667,54379
15.0,0.32381801805251736,0.5333333333333333,2017-05-11 10:28:44,29.162992,111.63917,2.0,19077.0,2017-05-11 10:28:44,345,19077.0,1.6,54379
10.0,0.5582213972043429,1.85,2017-05-11 11:09:54,29.16293533333334,111.63816666666666,8.0,19096.0,2017-05-11 11:08:49,346,19098.0,40.083333333333336,54379
24.0,0.27193830709662425,0.5333333333333333,2017-05-11 11:10:57,29.162767,111.63543999999999,24.0,19100.0,2017-05-11 11:10:57,347,19100.0,1.05,54379
12.333333333333334,0.44902000845097106,1.6,2017-05-11 11:14:09,29.159703999999994,111.63563,26.333333333333336,19104.0,2017-05-11 11:13:05,348,19106.0,2.1333333333333333,54379
30.857142857142858,12.95944836858822,1.0666666666666667,2017-05-11 11:41:31,29.055803000000004,111.64351,165.75661375661375,19137.0,2017-05-11 11:40:59,349,19138.0,26.833333333333332,54379
34.2,1.539735883404924,0.5333333333333333,2017-05-11 11:44:44,29.041956,111.6435,65.7,19144.0,2017-05-11 11:44:44,350,19144.0,3.216666666666667,54379
27.333333333333332,0.6978419697054464,0.5333333333333333,2017-05-11 11:46:51,29.03601500000001,111.64368400000001,156.33333333333334,19148.0,2017-05-11 11:46:51,351,19148.0,2.1166666666666667,54379
38.57142857142857,11.68489004456894,3.4833333333333334,2017-05-11 13:26:42,28.948358666666667,111.62669999999999,208.57142857142858,19196.0,2017-05-11 13:23:45,352,19198.0,96.9,54379
64.8551724137931,126.87081826183254,0.5333333333333333,2017-05-11 15:26:09,28.309765000000002,112.602776,173.41637931034484,19344.0,2017-05-11 15:26:09,353,19344.0,119.45,54379
56.55813953488372,25.078885100804545,1.0666666666666667,2017-05-11 16:20:50,28.173225,112.75284599999999,166.53820598006644,19399.0,2017-05-11 16:20:17,354,19400.0,54.13333333333333,54379
66.5,2.154786727245714,0.5333333333333333,2017-05-11 16:22:59,28.154099,112.7494,24.5,19403.0,2017-05-11 16:22:59,355,19403.0,2.15,54379
41.0,1.0420427603024487,0.55,2017-05-11 16:24:03,28.144743,112.74888,41.0,19405.0,2017-05-11 16:24:03,356,19405.0,1.0666666666666667,54379
57.41935483870968,62.364028262785695,62.46666666666667,2017-05-11 18:30:27,27.853067272727284,113.01451818181822,162.42005610098175,19499.0,2017-05-11 17:28:31,357,19520.0,64.46666666666667,54379
