Unnamed: 0,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
31,2017-06-03 15:24:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
32,2017-06-03 15:27:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
33,2017-06-03 15:30:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
34,2017-06-03 15:34:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
35,2017-06-03 15:37:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
36,2017-06-03 15:40:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
37,2017-06-03 15:43:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
38,2017-06-03 15:47:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
39,2017-06-03 15:50:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
40,2017-06-03 15:53:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
41,2017-06-03 15:56:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
42,2017-06-03 16:00:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
43,2017-06-03 16:03:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
44,2017-06-03 16:06:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
45,2017-06-03 16:10:00,0,15,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约80米,距常德女子外语学校-北门 约320米",111.65712,29.054682,15,0.0
