,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,,2017-01-06 00:01:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,,0
1,1,1,1,1,,2017-01-06 00:05:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
2,2,2,2,2,,2017-01-06 00:08:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
3,3,3,3,3,,2017-01-06 00:11:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
4,4,4,4,4,,2017-01-06 00:15:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
5,5,5,5,5,,2017-01-06 00:18:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
6,6,6,6,6,,2017-01-06 00:21:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
7,7,7,7,7,,2017-01-06 00:24:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
8,8,8,8,8,,2017-01-06 00:28:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
9,9,9,9,9,,2017-01-06 00:31:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
10,10,10,10,10,,2017-01-06 00:34:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
11,11,11,11,11,,2017-01-06 00:37:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
12,12,12,12,12,,2017-01-06 00:41:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
13,13,13,13,13,,2017-01-06 00:44:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
14,14,14,14,14,,2017-01-06 00:47:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
15,15,15,15,15,,2017-01-06 00:50:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
16,16,16,16,16,,2017-01-06 00:54:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
17,17,17,17,17,,2017-01-06 00:57:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
18,18,18,18,18,,2017-01-06 01:00:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
19,19,19,19,19,,2017-01-06 01:04:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
20,20,20,20,20,,2017-01-06 01:07:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
21,21,21,21,21,,2017-01-06 01:10:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
22,22,22,22,22,,2017-01-06 01:13:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
23,23,23,23,23,,2017-01-06 01:17:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
24,24,24,24,24,,2017-01-06 01:20:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
25,25,25,25,25,,2017-01-06 01:23:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
26,26,26,26,26,,2017-01-06 01:27:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
27,27,27,27,27,,2017-01-06 01:30:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
28,28,28,28,28,,2017-01-06 01:33:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市汇文中学 约117米,距金三角商行 约230米",111.65790600000001,29.054503999999998,0.0,0
