Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,long,Latitude,lat,Distance_geopy,Distance traveled (km)
28,28,28,28,28,,2017-06-15 09:19:25,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
29,29,29,29,29,,2017-06-15 09:22:41,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
30,30,30,30,30,,2017-06-15 09:25:57,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
31,31,31,31,31,,2017-06-15 09:29:13,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
32,32,32,32,32,,2017-06-15 09:32:29,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
33,33,33,33,33,,2017-06-15 09:35:45,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
34,34,34,34,34,,2017-06-15 09:39:02,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
35,35,35,35,35,,2017-06-15 09:42:18,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
36,36,36,36,36,,2017-06-15 09:45:34,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
37,37,37,37,37,,2017-06-15 09:48:50,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
38,38,38,38,38,,2017-06-15 09:52:06,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
39,39,39,39,39,,2017-06-15 09:55:23,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
40,40,40,40,40,,2017-06-15 09:58:39,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
41,41,41,41,41,,2017-06-15 10:01:55,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
42,42,42,42,42,,2017-06-15 10:05:12,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
43,43,43,43,43,,2017-06-15 10:08:28,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
44,44,44,44,44,,2017-06-15 10:11:44,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
45,45,45,45,45,,2017-06-15 10:15:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
46,46,46,46,46,,2017-06-15 10:18:16,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
47,47,47,47,47,,2017-06-15 10:21:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
48,48,48,48,48,,2017-06-15 10:24:49,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
49,49,49,49,49,,2017-06-15 10:28:05,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
50,50,50,50,50,,2017-06-15 10:31:21,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
51,51,51,51,51,,2017-06-15 10:34:37,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
52,52,52,52,52,,2017-06-15 10:37:53,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
53,53,53,53,53,,2017-06-15 10:41:09,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
54,54,54,54,54,,2017-06-15 10:44:25,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
55,55,55,55,55,,2017-06-15 10:47:42,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
56,56,56,56,56,,2017-06-15 10:50:58,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
57,57,57,57,57,,2017-06-15 10:54:15,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
58,58,58,58,58,,2017-06-15 10:57:29,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
59,59,59,59,59,,2017-06-15 11:00:47,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
60,60,60,60,60,,2017-06-15 11:04:03,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
61,61,61,61,61,,2017-06-15 11:07:19,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
62,62,62,62,62,,2017-06-15 11:10:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
63,63,63,63,63,,2017-06-15 11:13:51,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
64,64,64,64,64,,2017-06-15 11:17:07,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
65,65,65,65,65,,2017-06-15 11:20:24,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
66,66,66,66,66,,2017-06-15 11:23:40,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
67,67,67,67,67,,2017-06-15 11:26:56,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
68,68,68,68,68,,2017-06-15 11:30:13,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
69,69,69,69,69,,2017-06-15 11:33:28,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
70,70,70,70,70,,2017-06-15 11:36:44,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
71,71,71,71,71,,2017-06-15 11:40:01,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
72,72,72,72,72,,2017-06-15 11:43:17,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
73,73,73,73,73,,2017-06-15 11:46:33,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
74,74,74,74,74,,2017-06-15 11:49:50,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
75,75,75,75,75,,2017-06-15 11:53:05,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
76,76,76,76,76,,2017-06-15 11:56:22,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
77,77,77,77,77,,2017-06-15 11:59:38,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
78,78,78,78,78,,2017-06-15 12:02:54,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
79,79,79,79,79,,2017-06-15 12:05:22,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
80,80,80,80,80,,2017-06-15 12:09:10,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
81,81,81,81,81,,2017-06-15 12:12:26,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
82,82,82,82,82,,2017-06-15 12:15:43,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
83,83,83,83,83,,2017-06-15 12:18:59,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
