,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
0,,2017-04-25 15:01:40,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约194米,距石板滩中学 约335米",111.64033,29.162203,0,
1,,2017-04-25 15:04:56,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约194米,距石板滩中学 约335米",111.64033,29.162203,0,0.0
2,,2017-04-25 15:05:46,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约194米,距石板滩中学 约335米",111.64033,29.162203,0,0.0
3,,2017-04-25 15:06:18,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约194米,距石板滩中学 约335米",111.64033,29.162203,0,0.0
4,,2017-04-25 15:06:50,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约194米,距石板滩中学 约335米",111.64033,29.162203,0,0.0
5,,2017-04-25 15:07:22,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约194米,距石板滩中学 约335米",111.64033,29.162203,0,0.0
6,,2017-04-25 15:07:54,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约194米,距石板滩中学 约335米",111.64033,29.162203,0,0.0
7,,2017-04-25 15:08:26,14,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约147米,距鼎城永欣机械制造公司 约214米",111.638145,29.16297,0,228.66395071039798
8,,2017-04-25 15:08:58,15,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约169米,距鼎城永欣机械制造公司 约271米",111.63693,29.16295,0,117.99708543247473
9,,2017-04-25 15:09:30,16,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距石板滩中学 约262米,距鼎城永欣机械制造公司 约369米",111.63559,29.162940000000003,0,130.11835840244123
10,,2017-04-25 15:10:02,18,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约332米,距石板滩中学 约348米",111.635475,29.161886,0,117.73037746564277
11,,2017-04-25 15:10:33,18,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约325米,距常德金德山水泥有限公司 约420米",111.63552,29.160444000000002,0,160.4028377950084
12,,2017-04-25 15:11:05,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约346米,距常德金德山水泥有限公司 约394米",111.63559,29.159723,0,80.45928056540883
13,,2017-04-25 15:11:37,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约346米,距常德金德山水泥有限公司 约394米",111.63559,29.159723,0,0.0
14,,2017-04-25 15:14:03,11,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约377米,距鼎城永欣机械制造公司 约445米",111.635994,29.157919,0,204.3959618858552
15,,2017-04-25 15:14:34,16,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约448米,距常德市鼎城区石板滩卫生院-预防接种门诊 约510米",111.63563,29.157125,0,95.10142092342447
16,,2017-04-25 15:14:51,19,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约511米,距常德市鼎城区石板滩卫生院-预防接种门诊 约522米",111.63545,29.156351,0,87.82197277026178
17,,2017-04-25 15:15:23,21,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约524米,距常德市鼎城区石板滩卫生院-预防接种门诊 约631米",111.63448000000001,29.155275,0,152.27446771789928
18,,2017-04-25 15:15:55,32,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约459米,距大堰 约686米",111.63293,29.154476000000003,0,174.78154850842384
19,,2017-04-25 15:16:27,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约457米,距大堰 约577米",111.63108000000001,29.153582,0,205.3196848929069
20,,2017-04-25 15:16:59,8,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约484米,距大堰 约546米",111.63036000000001,29.153206,0,81.46526452953185
