Unnamed: 0,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Longitude,Latitude,Distance traveled (km),Distance_geopy
65,,2017-06-03 00:54:00,0,0,113.156952,29.405207,0,0.223381569344444
66,,2017-06-03 00:55:00,0,0,113.156953,29.405206,0,0.14747234189285946
67,,2017-06-03 00:55:00,0,0,113.156951,29.405207,0,0.22338157124174868
68,,2017-06-03 00:56:00,0,0,113.15695,29.405207,0,0.09686973313978013
69,,2017-06-03 00:57:00,0,0,113.15695,29.405207,0,0.0
70,,2017-06-03 00:58:00,0,0,113.156949,29.40520900000001,0,0.2425719108401408
71,,2017-06-03 00:59:00,0,0,113.156949,29.405208000000002,0,0.1111950845175192
72,,2017-06-03 01:00:00,0,0,113.156948,29.405207,0,0.147472340457435
73,,2017-06-03 01:00:00,0,0,113.156948,29.405205,0,0.22239016762039024
74,,2017-06-03 01:01:00,0,0,113.15694599999999,29.405205,0,0.1937394663938085
75,,2017-06-03 01:02:00,0,0,113.156947,29.405205,0,0.09686973258070533
76,,2017-06-03 01:03:00,0,0,113.156949,29.405206,0,0.22338157342272455
77,,2017-06-03 01:04:00,0,0,113.15695,29.405206,0,0.09686973286024277
78,,2017-06-03 01:05:00,0,0,113.156952,29.405207,0,0.2233815723106109
79,,2017-06-03 01:05:00,0,0,113.156953,29.40520900000001,0,0.2425719108401408
80,,2017-06-03 01:06:00,0,0,113.156954,29.40520900000001,0,0.09686972876926317
81,,2017-06-03 01:07:00,0,0,113.156954,29.40520900000001,0,0.0
82,,2017-06-03 01:08:00,0,0,113.15695500000001,29.40520900000001,0,0.09686973000166108
83,,2017-06-03 01:09:00,0,0,113.156958,29.40520900000001,0,0.29060918877258524
84,,2017-06-03 01:10:00,0,0,113.156958,29.40520900000001,0,0.0
85,,2017-06-03 01:10:00,0,0,113.156958,29.40520900000001,0,0.0
86,,2017-06-03 01:11:00,0,0,113.156957,29.405209999999997,0,0.14747233876487847
87,,2017-06-03 01:12:00,0,0,113.156957,29.405209999999997,0,0.0
88,,2017-06-03 01:13:00,0,0,113.15695600000001,29.405206,0,0.4552068657571476
89,,2017-06-03 01:14:00,0,0,113.156954,29.405203999999998,0,0.2949446855613199
90,,2017-06-03 01:15:00,0,0,113.15695500000001,29.405206,0,0.242571911333224
91,,2017-06-03 01:15:00,0,0,113.15695500000001,29.405208000000002,0,0.2223901669130662
92,,2017-06-03 01:16:00,0,0,113.15695500000001,29.405208000000002,0,0.0
93,,2017-06-03 01:17:00,0,0,113.15695500000001,29.40520900000001,0,0.1111950845175192
94,,2017-06-03 01:18:00,0,0,113.156957,29.40520900000001,0,0.19373946000332207
95,,2017-06-03 01:19:00,0,0,113.156958,29.405208000000002,0,0.14747234063152256
96,,2017-06-03 01:20:00,0,0,113.156958,29.405207,0,0.11119508345653306
