Unnamed: 0,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Latitude,Longitude,Distance traveled (km),Distance_geopy
31,21,1970-01-01 00:00:00.000000007,7,"湖南省常德市鼎城区,距廖家岗 约327米,距湖南昊宇幕墙门窗有限公司 约443米",111,616134,29,98162,"ACC开,3D定位,天线正常",4157837.96091205
32,40,1970-01-01 00:00:00.000000007,7,"湖南省常德市鼎城区,距湖南昊宇幕墙门窗有限公司 约238米,距五里岗村 约399米",111,61587,29,1041,"ACC开,3D定位,天线正常",7517261.954162855
33,27,1970-01-01 00:00:00.000000007,7,"湖南省常德市鼎城区,距朱家溶 约237米,距五里岗村 约292米",111,616085,29,109278,"ACC开,3D定位,天线正常",11170900.856368186
34,6,1970-01-01 00:00:00.000000008,8,"湖南省常德市鼎城区,距郑家溶 约328米,距常德科技创新创业孵化产业园 约330米",111,616327,29,111154,"ACC开,3D定位,天线正常",7245365.478665745
35,12,1970-01-01 00:00:00.000000008,8,"湖南省常德市鼎城区,距常德科技创新创业孵化产业园 约79米,距湖南粤港模科实业有限公司 约124米",111,616743,29,113409,"ACC开,3D定位,天线正常",8929738.475775626
36,5,1970-01-01 00:00:00.000000008,8,"湖南省常德市鼎城区,距湖南粤港模科实业有限公司 约79米,距常德科技创新创业孵化产业园 约125米",111,617345,29,115165,"ACC开,3D定位,天线正常",4253321.589697378
37,35,1970-01-01 00:00:00.000000008,8,"湖南省常德市鼎城区,距兄弟餐馆 约242米,距王家塝 约293米",111,619225,29,119754,"ACC开,3D定位,天线正常",8583336.082255706
38,49,1970-01-01 00:00:00.000000008,8,"湖南省常德市鼎城区,距湖南新湘达门窗有限公司 约334米,距兄弟餐馆 约508米",111,62051,29,125723,"ACC开,3D定位,天线正常",12867741.24110758
39,55,1970-01-01 00:00:00.000000009,9,"湖南省常德市鼎城区G56(杭瑞高速),距陈家冲 约98米,距皇家湾 约352米",111,622457,29,133617,"ACC开,3D定位,天线正常",2523411.119700987
40,37,1970-01-01 00:00:00.000000009,9,"湖南省常德市鼎城区,距皇家湾 约270米,距锥子岗 约550米",111,623953,29,138527,"ACC开,3D定位,天线正常",11661288.416990712
41,40,1970-01-01 00:00:00.000000009,9,"湖南省常德市鼎城区,距小堰 约167米,距新堰 约206米",111,626201,29,144032,"ACC开,3D定位,天线正常",9771430.542710537
42,49,1970-01-01 00:00:00.000000010,10,"湖南省常德市鼎城区,距古堤桥 约338米,距大堰 约338米",111,628123,29,148582,"ACC开,3D定位,天线正常",11661288.416990712
43,39,1970-01-01 00:00:00.000000010,10,"湖南省常德市鼎城区,距余家岗 约455米,距大堰 约593米",111,631539,29,153744,"ACC开,3D定位,天线正常",11098025.669776663
44,38,1970-01-01 00:00:00.000000010,10,"湖南省常德市鼎城区,距常德金德山水泥有限公司 约483米,距常德市鼎城区石板滩卫生院-预防接种门诊 约510米",111,635573,29,156622,"ACC开,3D定位,天线正常",194504.5018861813
45,16,1970-01-01 00:00:00.000000010,10,"湖南省常德市鼎城区,距常德金德山水泥有限公司 约360米,距鼎城永欣机械制造公司 约372米",111,635907,29,15889,"ACC开,3D定位,天线正常",2620036.873807081
46,17,1970-01-01 00:00:00.000000010,10,"湖南省常德市鼎城区,距鼎城永欣机械制造公司 约285米,距石板滩中学 约401米",111,635836,29,161091,"ACC开,3D定位,天线正常",11098025.669776663
47,17,1970-01-01 00:00:00.000000010,10,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约207米",111,637613,29,162406,"ACC开,3D定位,天线正常",11314624.92269598
48,13,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约194米,距石板滩中学 约251米",111,639665,29,162683,"ACC开,3D定位,天线正常",7876666.998155135
49,16,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约180米,距常德金德山水泥有限公司 约311米",111,640385,29,161896,"ACC开,3D定位,天线正常",6419109.762923776
50,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约127米,距石板滩中学 约274米",111,639296,29,16216,"ACC开,3D定位,天线正常",10950332.59851896
51,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约127米,距石板滩中学 约274米",111,639296,29,16216,"ACC开,3D定位,天线正常",0.0
52,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约127米,距石板滩中学 约274米",111,639296,29,16216,"ACC开,3D定位,天线正常",0.0
53,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约127米,距石板滩中学 约274米",111,639295,29,16216,"ACC开,3D定位,天线正常",0.0
54,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约127米,距石板滩中学 约274米",111,639295,29,16216,"ACC开,3D定位,天线正常",0.0
55,0,1970-01-01 00:00:00.000000011,11,"湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约127米,距石板滩中学 约274米",111,639294,29,16216,"ACC开,3D定位,天线正常",0.0
