Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,0,,2017-04-08 00:02:29,0,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区惠民路,距石家庄柳辛庄站 约301米,距石家庄紫气东来商务酒店 约430米",114.51905,38.10596500000001,,0
1,1,1,1,1,1,,2017-04-08 00:05:46,0,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区惠民路,距石家庄柳辛庄站 约301米,距石家庄紫气东来商务酒店 约430米",114.51905,38.10596500000001,0.0,0
2,2,2,2,2,2,,2017-04-08 00:09:02,0,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区惠民路,距石家庄柳辛庄站 约301米,距石家庄紫气东来商务酒店 约430米",114.51905,38.10596500000001,0.0,0
3,3,3,3,3,3,,2017-04-08 00:12:18,0,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区惠民路,距石家庄柳辛庄站 约301米,距石家庄紫气东来商务酒店 约430米",114.51905,38.10596500000001,0.0,0
4,4,4,4,4,4,,2017-04-08 00:13:12,0,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区惠民路,距石家庄柳辛庄站 约301米,距石家庄紫气东来商务酒店 约430米",114.51905,38.10596500000001,0.0,0
5,5,5,5,5,5,,2017-04-08 00:14:00,0,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区惠民路,距康桥柳龙幼儿园 约231米,距荣昌西花园14栋 约303米",114.51883,38.10406,212.6994657675574,0
6,6,6,6,6,6,,2017-04-08 00:14:48,22,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区育和街,距荣昌西花园14栋 约222米,距康桥柳龙幼儿园 约220米",114.51664,38.10343,204.02588103354896,0
7,7,7,7,7,7,,2017-04-08 00:15:36,17,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区柳城路,距铂宫时代(在建) 约245米,距石家庄柳辛庄站 约351米",114.51347,38.10354,277.64180734407984,0
8,8,8,8,8,8,,2017-04-08 00:16:24,12,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区育和街,距柳董庄小区 约307米,距中基禧悦府 约330米",114.51243999999998,38.101204,274.94282264214223,0
9,9,9,9,9,9,,2017-04-08 00:17:12,6,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区育和街,距柳董庄小区 约302米,距中基禧悦府 约288米",114.51195,38.101257,43.27902559316305,0
10,10,10,10,10,10,,2017-04-08 00:17:59,0,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区育和街,距柳董庄小区 约293米,距中基禧悦府 约274米",114.51179,38.101192,15.75587524615039,0
11,11,11,11,11,11,,2017-04-08 00:18:47,0,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区育和街,距柳董庄小区 约293米,距中基禧悦府 约274米",114.51179,38.101192,0.0,0
12,12,12,12,12,12,,2017-04-08 00:19:36,0,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区育和街,距柳董庄小区 约293米,距中基禧悦府 约274米",114.51179,38.101192,0.0,0
13,13,13,13,13,13,,2017-04-08 00:20:24,0,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区育和街,距柳董庄小区 约293米,距中基禧悦府 约274米",114.51179,38.101192,0.0,0
14,14,14,14,14,14,,2017-04-08 00:21:12,0,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区育和街,距柳董庄小区 约260米,距中基禧悦府 约272米",114.511795,38.10089,33.58376522380157,0
15,15,15,15,15,15,,2017-04-08 00:22:00,0,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区育和街,距柳董庄小区 约260米,距中基禧悦府 约272米",114.511795,38.10089,0.0,0
16,16,16,16,16,16,,2017-04-08 00:22:48,0,0,"ACC开,3D定位,天线正常","河北省石家庄市桥东区育和街,距柳董庄小区 约260米,距中基禧悦府 约272米",114.511795,38.10089,0.0,0
