Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,0,,2017-04-19 14:15:43,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约193米,距石板滩中学 约322米",111.64023600000002,29.162283,,0
1,1,1,1,1,1,,2017-04-19 14:17:37,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约193米,距石板滩中学 约322米",111.64023600000002,29.162283,0.0,0
2,2,2,2,2,2,,2017-04-19 14:18:09,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约193米,距石板滩中学 约322米",111.64023600000002,29.162283,0.0,0
3,3,3,3,3,3,,2017-04-19 14:18:41,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约193米,距石板滩中学 约322米",111.64023600000002,29.162283,0.0,0
4,4,4,4,4,4,,2017-04-19 14:19:13,9,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约208米,距石板滩中学 约214米",111.63939,29.162914,108.03272333067132,0
5,5,5,5,5,5,,2017-04-19 14:19:45,13,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约150米,距鼎城永欣机械制造公司 约212米",111.63831,29.162985,105.16443656829956,0
6,6,6,6,6,6,,2017-04-19 14:20:17,14,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约159米,距鼎城永欣机械制造公司 约266米",111.637054,29.162989000000003,121.95799292140093,0
7,7,7,7,7,7,,2017-04-19 14:20:49,16,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距石板滩中学 约249米,距鼎城永欣机械制造公司 约361米",111.63572,29.162977,129.53783350227914,0
8,8,8,8,8,8,,2017-04-19 14:21:22,17,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约327米,距石板滩中学 约364米",111.63547,29.161707,143.28898663448498,0
9,9,9,9,9,9,,2017-04-19 14:21:54,13,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约330米,距常德金德山水泥有限公司 约419米",111.63549,29.160336,152.4608289812987,0
10,10,10,10,10,10,,2017-04-19 14:22:26,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约349米,距常德金德山水泥有限公司 约399米",111.63554,29.159739,66.5607740388374,0
11,11,11,11,11,11,,2017-04-19 14:22:57,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约349米,距常德金德山水泥有限公司 约399米",111.63554,29.159739,0.0,0
12,12,12,12,12,12,,2017-04-19 14:24:21,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约349米,距常德金德山水泥有限公司 约399米",111.63554,29.159739,0.0,0
13,13,13,13,13,13,,2017-04-19 14:24:53,16,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约365米,距常德金德山水泥有限公司 约381米",111.63568,29.15925,56.04804255493329,0
14,14,14,14,14,14,,2017-04-19 14:25:25,19,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约355米,距鼎城永欣机械制造公司 约420米",111.63615,29.158106,135.14644598667113,0
