,Unnamed: 0,Unnamed: 0.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,,2017-03-29 15:47:52,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约325米",111.64022,29.162233,,0
1,1,1,,2017-03-29 15:50:36,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约325米",111.64022,29.162233,0.0,0
2,2,2,,2017-03-29 15:50:52,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约325米",111.64022,29.162233,0.0,0
3,3,3,,2017-03-29 15:51:08,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约325米",111.64022,29.162233,0.0,0
4,4,4,,2017-03-29 15:51:24,14,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约201米,距石板滩中学 约276米",111.63994,29.162611,50.05854289209002,0
5,5,5,,2017-03-29 15:51:39,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约205米,距石板滩中学 约227米",111.6395,29.162846000000002,50.08151249733485,0
6,6,6,,2017-03-29 15:51:56,11,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约198米,距鼎城永欣机械制造公司 约213米",111.63925,29.162994,29.32747862032527,0
7,7,7,,2017-03-29 15:52:12,15,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约161米,距鼎城永欣机械制造公司 约212米",111.638695,29.163028999999998,54.03064884614645,0
8,8,8,,2017-03-29 15:52:27,15,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约139米,距鼎城永欣机械制造公司 约223米",111.63803999999999,29.163021,63.6064791301961,0
9,9,9,,2017-03-29 15:52:44,19,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约151米,距鼎城永欣机械制造公司 约256米",111.63723999999999,29.163,77.71480513860404,0
10,10,10,,2017-03-29 15:52:59,20,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约194米,距鼎城永欣机械制造公司 约314米",111.63638999999999,29.163038,82.64278180727804,0
11,11,11,,2017-03-29 15:53:16,21,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距石板滩中学 约264米,距鼎城永欣机械制造公司 约380米",111.63551000000001,29.163012,85.49657029088084,0
12,12,12,,2017-03-29 15:53:32,21,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距石板滩中学 约320米,距鼎城永欣机械制造公司 约344米",111.635475,29.162235,86.4653944662793,0
13,13,13,,2017-03-29 15:53:48,20,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约316米,距石板滩中学 约391米",111.63553,29.161365999999997,96.77599795509903,0
14,14,14,,2017-03-29 15:54:04,19,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约322米,距常德金德山水泥有限公司 约420米",111.63553999999999,29.16048,98.52362930239745,0
15,15,15,,2017-03-29 15:54:20,11,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约344米,距常德金德山水泥有限公司 约397米",111.63557,29.159796000000004,76.11320348880177,0
16,16,16,,2017-03-29 15:54:36,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约346米,距常德金德山水泥有限公司 约396米",111.63557,29.159741999999998,6.004534522214803,0
17,17,17,,2017-03-29 15:54:52,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约346米,距常德金德山水泥有限公司 约396米",111.63557,29.159741999999998,0.0,0
