Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,0,,2017-06-12 14:03:51,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约170米,距石板滩中学 约297米",111.63989,29.162294,,0
1,1,1,1,1,1,,2017-06-12 14:07:07,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约170米,距石板滩中学 约297米",111.63989,29.162294,0.0,0
2,2,2,2,2,2,,2017-06-12 14:07:49,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约170米,距石板滩中学 约297米",111.63989,29.162294,0.0,0
3,3,3,3,3,3,,2017-06-12 14:08:21,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约170米,距石板滩中学 约297米",111.63989,29.162294,0.0,0
4,4,4,4,4,4,,2017-06-12 14:08:54,13,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约201米,距石板滩中学 约261米",111.63981000000001,29.162687,44.38471548500747,0
5,5,5,5,5,5,,2017-06-12 14:09:25,17,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约164米,距鼎城永欣机械制造公司 约207米",111.63866000000002,29.162985,116.4775808378292,0
6,6,6,6,6,6,,2017-06-12 14:09:58,18,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约168米,距鼎城永欣机械制造公司 约266米",111.63698600000001,29.162934999999997,162.63994175135525,0
7,7,7,7,7,7,,2017-06-12 14:10:29,14,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距石板滩中学 约281米,距鼎城永欣机械制造公司 约378米",111.63542,29.16285,152.3516795163361,0
8,8,8,8,8,8,,2017-06-12 14:11:02,19,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约324米,距石板滩中学 约393米",111.63545,29.161394,161.9262462418848,0
9,9,9,9,9,9,,2017-06-12 14:11:34,12,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约339米,距常德金德山水泥有限公司 约409米",111.635506,29.160051,149.4339655372712,0
10,10,10,10,10,10,,2017-06-12 14:12:06,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约348米,距常德金德山水泥有限公司 约403米",111.63552,29.159809999999997,26.832474413681982,0
11,11,11,11,11,11,,2017-06-12 14:12:38,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约348米,距常德金德山水泥有限公司 约403米",111.63552,29.159809999999997,0.0,0
