Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,0,0,0,0,0,0,0,,2017-06-16 00:02:44,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,,0
1,1,1,1,1,1,1,1,1,1,1,1,,2017-06-16 00:06:01,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
2,2,2,2,2,2,2,2,2,2,2,2,,2017-06-16 00:09:16,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
3,3,3,3,3,3,3,3,3,3,3,3,,2017-06-16 00:12:33,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
4,4,4,4,4,4,4,4,4,4,4,4,,2017-06-16 00:15:49,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
5,5,5,5,5,5,5,5,5,5,5,5,,2017-06-16 00:19:05,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
6,6,6,6,6,6,6,6,6,6,6,6,,2017-06-16 00:22:21,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
7,7,7,7,7,7,7,7,7,7,7,7,,2017-06-16 00:25:38,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
8,8,8,8,8,8,8,8,8,8,8,8,,2017-06-16 00:28:54,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
9,9,9,9,9,9,9,9,9,9,9,9,,2017-06-16 00:32:10,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
10,10,10,10,10,10,10,10,10,10,10,10,,2017-06-16 00:35:26,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
11,11,11,11,11,11,11,11,11,11,11,11,,2017-06-16 00:38:42,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
12,12,12,12,12,12,12,12,12,12,12,12,,2017-06-16 00:41:59,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
13,13,13,13,13,13,13,13,13,13,13,13,,2017-06-16 00:45:15,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
14,14,14,14,14,14,14,14,14,14,14,14,,2017-06-16 00:48:31,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
15,15,15,15,15,15,15,15,15,15,15,15,,2017-06-16 00:51:47,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
16,16,16,16,16,16,16,16,16,16,16,16,,2017-06-16 00:55:03,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
17,17,17,17,17,17,17,17,17,17,17,17,,2017-06-16 00:58:20,0,0,"ACC开,3D定位,天线正常","湖南省怀化市芷江侗族自治县G320(沪瑞线),距芷江侗族自治县公安局 约102米,距九九汽车服务 约252米",109.689995,27.432169000000002,0.0,0
