Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,0,,2017-05-26 06:47:55,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约520米,距万嘉物流 约616米",111.65781,28.986008,,0
1,1,1,1,1,1,,2017-05-26 06:48:45,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约517米,距万嘉物流 约619米",111.65777,28.986082,9.101890436134244,0
2,2,2,2,2,2,,2017-05-26 06:49:33,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约517米,距万嘉物流 约619米",111.65777,28.986082,0.0,0
3,3,3,3,3,3,,2017-05-26 06:50:21,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约517米,距万嘉物流 约619米",111.65777,28.986082,0.0,0
4,4,4,4,4,4,,2017-05-26 06:51:09,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约517米,距万嘉物流 约619米",111.65777,28.986082,0.0,0
5,5,5,5,5,5,,2017-05-26 06:52:23,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约517米,距万嘉物流 约619米",111.65777,28.986082,0.0,0
6,6,6,6,6,6,,2017-05-26 06:54:35,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约517米,距万嘉物流 约619米",111.65777,28.986082,0.0,0
7,7,7,7,7,7,,2017-05-26 06:55:28,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约517米,距万嘉物流 约619米",111.65777,28.986082,0.0,0
8,8,8,8,8,8,,2017-05-26 06:56:16,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约517米,距万嘉物流 约619米",111.65777,28.986082,0.0,0
9,9,9,9,9,9,,2017-05-26 06:57:04,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约517米,距万嘉物流 约619米",111.65777,28.986082,0.0,0
10,10,10,10,10,10,,2017-05-26 06:57:53,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约517米,距万嘉物流 约619米",111.65777,28.986082,0.0,0
11,11,11,11,11,11,,2017-05-26 07:00:35,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约517米,距万嘉物流 约619米",111.65777,28.986082,0.0,0
12,12,12,12,12,12,,2017-05-26 07:02:02,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约517米,距万嘉物流 约619米",111.65777,28.986082,0.0,0
13,13,13,13,13,13,,2017-05-26 07:02:50,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约517米,距万嘉物流 约619米",111.65777,28.986082,0.0,0
14,14,14,14,14,14,,2017-05-26 07:03:38,12,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约428米,距万嘉物流 约579米",111.658195,28.986914,101.32983680284993,0
15,15,15,15,15,15,,2017-05-26 07:04:26,33,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约280米,距万嘉物流 约629米",111.65924,28.99017000000001,376.0478359968973,0
16,16,16,16,16,16,,2017-05-26 07:10:02,61,4,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距张家园 约316米,距常德技师学院新校区 约335米",111.65073999999998,29.026743,4149.89171825302,4
17,17,17,17,17,17,,2017-05-26 07:10:51,66,4,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距湖南幼儿师范高等专科学校-南门 约329米,距湖南幼儿师范高等专科学校新校区 约432米",111.64534,29.03351,917.5144594096556,4
18,18,18,18,18,18,,2017-05-26 07:11:39,0,4,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距常德市职业技术学院-基础医学系 约566米,距湖南幼儿师范高等专科学校-南门 约566米",111.64413,29.035368,237.74421138186244,4
19,19,19,19,19,19,,2017-05-26 07:12:26,56,4,"ACC开,3D定位,天线正常","湖南省常德市武陵区敬业路,距常德市职业技术学院-基础医学系 约252米,距常德市农业科学研究所 约439米",111.643745,29.038857,389.76098600840555,4
20,20,20,20,20,20,,2017-05-26 07:13:15,0,4,"ACC开,3D定位,天线正常","湖南省常德市武陵区敬业路,距常德市职业技术学院-基础医学系 约214米,距常德爱情公寓 约354米",111.643745,29.041002,238.5134545888005,4
21,21,21,21,21,21,,2017-05-26 07:14:03,21,5,"ACC开,3D定位,天线正常","湖南省常德市武陵区励志路,距常德职院驾校-北门 约143米,距宏昇超市 约186米",111.64374,29.043491,276.7649902169434,5
22,22,22,22,22,22,,2017-05-26 07:14:51,34,5,"ACC开,3D定位,天线正常","湖南省常德市武陵区人民路4397,距常德职院驾校-北门 约74米,距宏昇超市 约105米",111.64373,29.044283,88.07187151873215,5
23,23,23,23,23,23,,2017-05-26 07:15:39,29,5,"ACC开,3D定位,天线正常","湖南省常德市武陵区金丹路,距常德舒心宾馆 约401米,距宏昇超市 约452米",111.64373,29.04917,543.4103741599417,5
24,24,24,24,24,24,,2017-05-26 07:16:28,13,5,"ACC开,3D定位,天线正常","湖南省常德市武陵区金丹路,距合兴村村委会 约71米,距合兴村 约256米",111.6437,29.05504,652.721655615666,5
25,25,25,25,25,25,,2017-05-26 07:17:16,0,5,"ACC开,3D定位,天线正常","湖南省常德市武陵区金丹路,距合兴村村委会 约69米,距合兴村 约254米",111.64369,29.05506,2.427046188079048,5
26,26,26,26,26,26,,2017-05-26 07:18:04,58,5,"ACC开,3D定位,天线正常","湖南省常德市武陵区柳叶大道辅路,距合兴村 约118米,距合兴村村委会 约290米",111.6437,29.058144,342.92701574145724,5
27,27,27,27,27,27,,2017-05-26 07:18:52,0,5,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距阳光超市 约357米,距家家福超市(常澧路) 约359米",111.64374,29.063572,603.5794359930107,5
28,28,28,28,28,28,,2017-05-26 07:19:40,52,6,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距常德市武陵区亚杰汽车修理厂 约140米,距河洑派出所 约234米",111.64369,29.068539,552.3273592851099,6
29,29,29,29,29,29,,2017-05-26 07:20:27,52,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(常澧路),距中共三星垱支部委员会 约130米,距天井堰 约281米",111.64369,29.075064,725.5479213000757,6
30,30,30,30,30,30,,2017-05-26 07:21:15,24,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距武陵区常鸿铜门厂 约290米,距中共三星垱支部委员会 约292米",111.64363,29.076633,174.56249872441617,6
31,31,31,31,31,31,,2017-05-26 07:22:09,44,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(常澧路),距三星当村 约183米,距紫色光广告传播 约202米",111.639465,29.078482,453.98104422649453,6
32,32,32,32,32,32,,2017-05-26 07:22:57,39,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(常澧路),距高桥 约236米,距四口堰 约382米",111.63443999999998,29.080399,532.8192041426104,6
33,33,33,33,33,33,,2017-05-26 07:23:46,19,6,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距高桥 约140米,距四口堰 约280米",111.63266000000002,29.081034,186.8320455326605,6
34,34,34,34,34,34,,2017-05-26 07:24:34,42,6,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距双解口 约242米,距樟树垱 约419米",111.62755,29.082972,541.3136643173874,6
35,35,35,35,35,35,,2017-05-26 07:25:22,38,7,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距樟树垱 约281米,距白鹤庵村 约416米",111.62178,29.085146,610.5869808771582,7
36,36,36,36,36,36,,2017-05-26 07:31:22,31,9,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距朱家溶 约242米,距五里岗村 约302米",111.61609,29.109396000000004,2752.5719090730463,9
37,37,37,37,37,37,,2017-05-26 07:32:10,12,9,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距湖南天成展示制品有限公司 约155米,距常德科技创新创业孵化产业园 约241米",111.616425,29.111965,287.50809779365363,9
38,38,38,38,38,38,,2017-05-26 07:32:58,9,9,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距湖南天成展示制品有限公司 约37米,距常德科技创新创业孵化产业园 约56米",111.616776,29.113625,187.7069797405093,9
39,39,39,39,39,39,,2017-05-26 07:36:46,0,9,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距湖南天成展示制品有限公司 约43米,距常德科技创新创业孵化产业园 约48米",111.61681000000002,29.113691,8.047902115811782,9
40,40,40,40,40,40,,2017-05-26 07:40:02,0,9,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距湖南天成展示制品有限公司 约43米,距常德科技创新创业孵化产业园 约48米",111.61681000000002,29.113691,0.0,9
