Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,0,0,0,0,0,0,0,,2017-05-25 00:02:18,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,,0
1,1,1,1,1,1,1,1,1,1,1,1,,2017-05-25 00:05:34,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
2,2,2,2,2,2,2,2,2,2,2,2,,2017-05-25 00:08:50,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
3,3,3,3,3,3,3,3,3,3,3,3,,2017-05-25 00:12:05,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
4,4,4,4,4,4,4,4,4,4,4,4,,2017-05-25 00:15:23,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
5,5,5,5,5,5,5,5,5,5,5,5,,2017-05-25 00:18:39,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
6,6,6,6,6,6,6,6,6,6,6,6,,2017-05-25 00:21:55,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
7,7,7,7,7,7,7,7,7,7,7,7,,2017-05-25 00:25:11,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
8,8,8,8,8,8,8,8,8,8,8,8,,2017-05-25 00:28:26,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
9,9,9,9,9,9,9,9,9,9,9,9,,2017-05-25 00:31:43,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
10,10,10,10,10,10,10,10,10,10,10,10,,2017-05-25 00:35:00,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
11,11,11,11,11,11,11,11,11,11,11,11,,2017-05-25 00:38:16,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
12,12,12,12,12,12,12,12,12,12,12,12,,2017-05-25 00:41:32,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
13,13,13,13,13,13,13,13,13,13,13,13,,2017-05-25 00:44:48,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
14,14,14,14,14,14,14,14,14,14,14,14,,2017-05-25 00:48:04,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
15,15,15,15,15,15,15,15,15,15,15,15,,2017-05-25 00:51:21,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
16,16,16,16,16,16,16,16,16,16,16,16,,2017-05-25 00:54:37,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
17,17,17,17,17,17,17,17,17,17,17,17,,2017-05-25 00:57:53,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
18,18,18,18,18,18,18,18,18,18,18,18,,2017-05-25 01:01:09,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
19,19,19,19,19,19,19,19,19,19,19,19,,2017-05-25 01:04:24,0,0,"ACC开,3D定位,天线正常","湖南省岳阳市岳阳楼区望岳路,距舒心宾馆超市 约107米,距保宝乐幼儿园 约148米",113.156624,29.405281,0.0,0
