Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
25,25,25,,2017-04-21 01:26:58,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
26,26,26,,2017-04-21 01:30:15,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
27,27,27,,2017-04-21 01:33:31,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
28,28,28,,2017-04-21 01:36:48,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
29,29,29,,2017-04-21 01:40:04,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
30,30,30,,2017-04-21 01:43:19,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
31,31,31,,2017-04-21 01:46:36,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
32,32,32,,2017-04-21 01:49:52,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
33,33,33,,2017-04-21 01:53:08,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
34,34,34,,2017-04-21 01:56:24,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.65449,29.030003000000004,0.0,0
