Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,0,0,0,0,0,0,0,,2017-04-16 09:17:01,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约5米,距武陵区丹洲乡高泗小学-南门 约30米",111.6545,29.030003000000004,,0
1,1,1,1,1,1,1,1,1,1,1,1,,2017-04-16 09:17:51,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约41米,距武陵区丹洲乡高泗小学-南门 约59米",111.654816,29.030163,35.50264731639316,0
2,2,2,2,2,2,2,2,2,2,2,2,,2017-04-16 09:18:39,17,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约110米,距武陵区丹洲乡高泗小学-南门 约136米",111.65482,29.03092,84.17557675668844,0
3,3,3,3,3,3,3,3,3,3,3,3,,2017-04-16 09:19:27,17,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区高泗路,距武陵区丹洲乡高泗小学 约188米,距武陵区丹洲乡高泗小学-南门 约208米",111.65578,29.031214,98.89481420548115,0
4,4,4,4,4,4,4,4,4,4,4,4,,2017-04-16 09:20:15,7,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路辅路,距常德市晶鑫绝缘材料有限公司-工会委员会 约157米,距新北站 约248米",111.655655,29.035475,473.9580816492921,0
5,5,5,5,5,5,5,5,5,5,5,5,,2017-04-16 09:21:02,27,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路辅路,距新北站 约102米,距常德市晶鑫绝缘材料有限公司-工会委员会 约198米",111.65564,29.03698,167.3549547120135,0
6,6,6,6,6,6,6,6,6,6,6,6,,2017-04-16 09:21:50,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路,距常德汽车北站 约191米,距常德市武陵区岩坪小学 约236米",111.65559,29.03984,318.0550861057285,0
7,7,7,7,7,7,7,7,7,7,7,7,,2017-04-16 09:22:38,31,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路,距岩坪村 约138米,距常德职业技术学院农科教技术服务中心 约245米",111.65556,29.04103,132.35428600426908,0
8,8,8,8,8,8,8,8,8,8,8,8,,2017-04-16 09:23:27,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路,距湖南常德路桥建设有限公司-北门 约183米,距武陵区护城乡岩坪村卫生室 约186米",111.65554,29.043734000000004,300.6777925648595,0
9,9,9,9,9,9,9,9,9,9,9,9,,2017-04-16 09:24:12,13,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区S306(人民路),距武陵区护城乡岩坪村卫生室 约178米,距湖南常德路桥建设有限公司-北门 约186米",111.65553,29.043922,20.927266613453426,0
10,10,10,10,10,10,10,10,10,10,10,10,,2017-04-16 09:25:01,30,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路,距项家屋场 约127米,距聚宝村 约253米",111.65531,29.047686,419.08433127823935,0
11,11,11,11,11,11,11,11,11,11,11,11,,2017-04-16 09:25:48,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路,距项家屋场 约76米,距聚宝村 约350米",111.65522,29.048893,134.4973087299087,0
12,12,12,12,12,12,12,12,12,12,12,12,,2017-04-16 09:26:37,20,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路,距项家屋场 约87米,距聚宝村 约370米",111.65516,29.049135,27.534031700643478,0
13,13,13,13,13,13,13,13,13,13,13,13,,2017-04-16 09:27:25,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路,距项家屋场 约14米,距聚宝村 约274米",111.65445,29.048483,100.09755115601152,0
14,14,14,14,14,14,14,14,14,14,14,14,,2017-04-16 09:28:13,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路,距项家屋场 约14米,距聚宝村 约274米",111.65445,29.048483,0.0,0
15,15,15,15,15,15,15,15,15,15,15,15,,2017-04-16 09:29:01,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路,距项家屋场 约14米,距聚宝村 约274米",111.65445,29.048483,0.0,0
16,16,16,16,16,16,16,16,16,16,16,16,,2017-04-16 09:30:51,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路,距项家屋场 约14米,距聚宝村 约274米",111.65445,29.048483,0.0,0
17,17,17,17,17,17,17,17,17,17,17,17,,2017-04-16 09:34:06,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路,距项家屋场 约14米,距聚宝村 约274米",111.65445,29.048483,0.0,0
18,18,18,18,18,18,18,18,18,18,18,18,,2017-04-16 09:37:22,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路,距项家屋场 约14米,距聚宝村 约274米",111.65445,29.048483,0.0,0
19,19,19,19,19,19,19,19,19,19,19,19,,2017-04-16 09:40:38,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区桃花源路,距项家屋场 约14米,距聚宝村 约274米",111.65445,29.048483,0.0,0
